method,span_char_precision,span_char_recall,span_char_f1,span_exact_span_precision,span_exact_span_recall,span_exact_span_f1,span_relaxed_span_precision,span_relaxed_span_recall,span_relaxed_span_f1
always_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
always_hallucinated,0.06927453211441127,1.0,0.12957295817646758,0.010084033613445379,0.01680672268907563,0.012605042016806721,0.025210084033613446,0.04201680672268908,0.031512605042016806
random_balanced,0.062369071837494044,0.4670933393747168,0.11004436734830038,0.00980392156862745,0.008403361344537815,0.00904977375565611,0.0196078431372549,0.01680672268907563,0.01809954751131222
random_prior,0.06898764258555133,0.49326008155867695,0.12104575526769333,0.003215434083601286,0.0028011204481792717,0.0029940119760479044,0.01607717041800643,0.014005602240896359,0.014970059880239521
keyword_tool_action,0.14878896926078053,0.695514272768464,0.24513669165277624,0.08023774145616643,0.15126050420168066,0.10485436893203884,0.22288261515601784,0.42016806722689076,0.2912621359223301
value_checker,0.02144128365208057,0.04298821930222021,0.028611817924795026,0.007118771075309105,0.10644257703081232,0.01334503950834065,0.00805545147995504,0.12044817927170869,0.015100965759438105
tfidf_logreg,0.1395940445586975,0.8857612143180789,0.24117882919005615,0.02120141342756184,0.01680672268907563,0.01875,0.053003533568904596,0.04201680672268908,0.046875
lookback_lens_style_proxy,0.6048289738430583,0.25538060715903943,0.35912548285611884,0.23134328358208955,0.08683473389355742,0.12627291242362523,0.7089552238805971,0.2661064425770308,0.3869653767820774
attention_lookback_lens_adapted,0.05763438021289618,0.544007702763933,0.10422657479246922,0.0,0.0,0.0,0.0,0.0,0.0
nli_sentence_verifier,0.09793081792189333,0.6712165835976439,0.17092377587077234,0.028334147532975085,0.16246498599439776,0.04825291181364393,0.09086468001954079,0.5210084033613446,0.15474209650582363
lettucedetect_real,0.07597861187198628,0.49173085636610786,0.13162023877202955,0.0035161744022503515,0.014005602240896359,0.005621135469364811,0.04571026722925457,0.18207282913165265,0.07307476110174256
modernbert_token_classifier,0.9822923738402354,0.9834050747621206,0.9828484093739386,0.25761772853185594,0.2605042016806723,0.2590529247910864,0.9224376731301939,0.9327731092436975,0.9275766016713092
hybrid_modernbert_value_checker,0.46552238401258167,0.9723606705935659,0.6296140093517923,0.030736457699330495,0.28291316526610644,0.05544880592917925,0.0907986638323717,0.8375350140056023,0.16383561643835617
