method,span_char_precision,span_char_recall,span_char_f1,span_exact_span_precision,span_exact_span_recall,span_exact_span_f1,span_relaxed_span_precision,span_relaxed_span_recall,span_relaxed_span_f1
always_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
always_hallucinated,0.05744580059075963,1.0,0.1086501087028131,0.006666666666666667,0.011111111111111112,0.008333333333333335,0.013333333333333334,0.022222222222222223,0.01666666666666667
random_balanced,0.06008466475488188,0.5335920446276983,0.1080072659433453,0.013888888888888888,0.011111111111111112,0.012345679012345678,0.027777777777777776,0.022222222222222223,0.024691358024691357
random_prior,0.056925996204933584,0.6621392190152802,0.10483870967741936,0.0,0.0,0.0,0.009900990099009901,0.011111111111111112,0.010471204188481676
keyword_tool_action,0.1808808696626695,0.3914625272859568,0.24743216311513105,0.05454545454545454,0.03333333333333333,0.041379310344827586,0.2909090909090909,0.17777777777777778,0.2206896551724138
value_checker,0.021061050386563585,0.05748241571671113,0.030827263267429763,0.007446808510638298,0.15555555555555556,0.014213197969543146,0.009042553191489361,0.18888888888888888,0.017258883248730962
tfidf_logreg,0.10543752469529802,0.8413776376424933,0.18739196197061364,0.0136986301369863,0.011111111111111112,0.012269938650306747,0.0273972602739726,0.022222222222222223,0.024539877300613494
lookback_lens_style_proxy,0.5266149870801033,0.24715013339801115,0.3364146583030703,0.13333333333333333,0.044444444444444446,0.06666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333
attention_lookback_lens_adapted,0.040202095344367986,0.3145767644918748,0.07129311529476433,0.0,0.0,0.0,0.0,0.0,0.0
nli_sentence_verifier,0.10564233343959196,0.8037836526800873,0.18674104753049897,0.015904572564612324,0.08888888888888889,0.02698145025295109,0.09741550695825049,0.5444444444444444,0.16526138279932545
lettucedetect_real,0.06856343283582089,0.5704584040747029,0.12241392770708096,0.0,0.0,0.0,0.0456140350877193,0.14444444444444443,0.06933333333333333
modernbert_token_classifier,0.9186104218362283,0.8978898860053359,0.9081319759597695,0.07920792079207921,0.08888888888888889,0.08376963350785341,0.594059405940594,0.6666666666666666,0.6282722513089005
hybrid_modernbert_value_checker,0.39459976613160413,0.9003153043900073,0.5487065779748707,0.008,0.08888888888888889,0.014678899082568808,0.06,0.6666666666666666,0.11009174311926605
